GENE	obeta_ncbi	obeta_ragtag_ncbi	obeta_ragtag_tama
ENSCGOG00000019776	UL	UL	UL
ENSCGOG00000009560	I	I	L
ENSCGOG00000015049	L	L	L
ENSCGOG00000008836	I	I	I
ENSCGOG00000024683	L	L	L
ENSCGOG00000001031	I	I	I
ENSCGOG00000008153	UL	UL	UL
ENSCGOG00000018732	I	UL	UL
ENSCGOG00000014564	PG	I	I
ENSCGOG00000013637	I	I	I
ENSCGOG00000004821	I	I	I
ENSCGOG00000017039	I	I	I
ENSCGOG00000021663	UL	UL	UL
ENSCGOG00000009654	I	I	I
ENSCGOG00000019275	I	I	I
ENSCGOG00000009842	I	M	M
ENSCGOG00000018924	I	I	I
ENSCGOG00000011771	I	I	I
ENSCGOG00000001070	I	I	I
ENSCGOG00000006808	I	I	I
ENSCGOG00000016634	I	I	I
ENSCGOG00000011070	I	I	I
ENSCGOG00000007963	I	I	I
ENSCGOG00000012212	I	I	I
ENSCGOG00000006214	I	I	I
ENSCGOG00000015349	I	I	I
ENSCGOG00000017113	I	I	I
ENSCGOG00000006484	I	I	I
ENSCGOG00000016735	UL	UL	UL
ENSCGOG00000012601	I	I	I
ENSCGOG00000016317	PG	PG	PG
ENSCGOG00000013857	L	L	L
ENSCGOG00000013472	I	I	I
ENSCGOG00000017956	I	I	I
ENSCGOG00000016909	I	I	I
ENSCGOG00000010759	I	I	I
ENSCGOG00000019672	I	I	I
ENSCGOG00000010322	I	I	I
ENSCGOG00000009281	I	I	I
ENSCGOG00000009272	I	I	I
ENSCGOG00000023994	I	I	I
ENSCGOG00000024650	UL	UL	UL
ENSCGOG00000013678	I	I	I
ENSCGOG00000006864	L	M	M
ENSCGOG00000008360	I	I	I
ENSCGOG00000003846	I	I	I
ENSCGOG00000021550	I	I	I
ENSCGOG00000007877	I	I	I
ENSCGOG00000020705	UL	UL	UL
ENSCGOG00000021200	I	I	I
ENSCGOG00000017303	I	I	I
ENSCGOG00000016643	L	L	L
ENSCGOG00000004266	I	I	I
ENSCGOG00000006407	I	I	I
ENSCGOG00000022074	I	I	I
ENSCGOG00000013698	I	I	I
ENSCGOG00000011235	L	L	L
ENSCGOG00000014873	I	I	I
ENSCGOG00000003715	I	I	I
ENSCGOG00000008947	L	M	PG
ENSCGOG00000010421	I	I	I
ENSCGOG00000015578	I	I	I
ENSCGOG00000016927	I	M	M
ENSCGOG00000015212	UL	I	I
ENSCGOG00000010992	L	L	M
ENSCGOG00000013779	I	I	I
ENSCGOG00000000037	UL	L	L
ENSCGOG00000024059	I	I	I
ENSCGOG00000014662	I	UL	UL
ENSCGOG00000020968	I	I	I
ENSCGOG00000024004	I	I	I
ENSCGOG00000006108	I	I	I
ENSCGOG00000015978	I	I	I
ENSCGOG00000021392	I	I	I
ENSCGOG00000017779	UL	UL	UL
ENSCGOG00000020474	I	I	I
ENSCGOG00000002918	L	L	L
ENSCGOG00000003674	UL	UL	UL
ENSCGOG00000017942	I	I	I
ENSCGOG00000000685	I	I	I
ENSCGOG00000005456	I	I	I
ENSCGOG00000022520	I	I	I
ENSCGOG00000003864	I	I	I
ENSCGOG00000022534	PI	PI	PI
ENSCGOG00000022437	M	UL	UL
ENSCGOG00000010320	I	I	I
ENSCGOG00000023184	I	I	I
ENSCGOG00000013797	UL	UL	UL
ENSCGOG00000017615	UL	UL	UL
ENSCGOG00000006096	I	I	I
ENSCGOG00000022651	I	I	I
ENSCGOG00000012879	UL	UL	UL
ENSCGOG00000018898	I	I	I
ENSCGOG00000012783	I	I	I
ENSCGOG00000023557	I	I	I
ENSCGOG00000021758	L	L	L
ENSCGOG00000024710	I	I	I
ENSCGOG00000002846	I	I	I
ENSCGOG00000014714	I	I	I
ENSCGOG00000011021	UL	UL	UL
ENSCGOG00000015606	L	I	I
ENSCGOG00000015298	I	I	I
ENSCGOG00000016048	I	I	I
ENSCGOG00000016697	I	I	I
ENSCGOG00000020835	L	L	L
ENSCGOG00000000387	L	L	M
ENSCGOG00000023838	I	I	I
ENSCGOG00000002420	I	I	I
ENSCGOG00000011178	UL	UL	UL
ENSCGOG00000021434	I	I	I
ENSCGOG00000023606	I	I	I
ENSCGOG00000007774	L	L	PG
ENSCGOG00000011596	I	I	I
ENSCGOG00000011918	I	I	I
ENSCGOG00000013174	I	I	I
ENSCGOG00000011529	I	I	I
ENSCGOG00000015661	I	I	I
ENSCGOG00000006958	I	I	I
ENSCGOG00000002160	I	I	I
ENSCGOG00000011569	I	I	I
ENSCGOG00000003257	I	I	I
ENSCGOG00000006789	UL	UL	UL
ENSCGOG00000000960	I	I	I
ENSCGOG00000000924	I	I	I
ENSCGOG00000009912	I	I	I
ENSCGOG00000002010	L	UL	UL
ENSCGOG00000021256	I	I	I
ENSCGOG00000014265	I	I	I
ENSCGOG00000022800	I	I	I
ENSCGOG00000023964	M	L	L
ENSCGOG00000009716	I	I	I
ENSCGOG00000002456	UL	UL	UL
ENSCGOG00000020621	I	I	I
ENSCGOG00000012644	L	L	M
ENSCGOG00000006550	I	UL	UL
ENSCGOG00000008536	I	I	I
ENSCGOG00000002571	I	I	I
ENSCGOG00000005719	I	I	I
ENSCGOG00000014243	I	I	I
ENSCGOG00000012054	L	L	L
ENSCGOG00000006201	I	I	I
ENSCGOG00000016240	I	PI	PI
ENSCGOG00000006937	I	I	I
ENSCGOG00000013968	L	L	L
ENSCGOG00000011915	I	I	I
ENSCGOG00000017747	I	UL	UL
ENSCGOG00000015005	UL	I	I
ENSCGOG00000004254	I	UL	UL
ENSCGOG00000001693	I	I	I
ENSCGOG00000005889	I	I	I
ENSCGOG00000002498	I	I	I
ENSCGOG00000008882	I	I	I
ENSCGOG00000004958	I	I	I
ENSCGOG00000003063	L	L	UL
ENSCGOG00000016418	I	I	I
ENSCGOG00000006183	I	I	I
ENSCGOG00000019942	I	I	I
ENSCGOG00000011302	I	I	I
ENSCGOG00000019161	I	I	I
ENSCGOG00000014118	I	I	I
ENSCGOG00000012238	I	I	I
ENSCGOG00000023927	L	L	L
ENSCGOG00000002889	UL	UL	UL
ENSCGOG00000011931	L	L	L
ENSCGOG00000004787	M	M	M
ENSCGOG00000002139	I	I	I
ENSCGOG00000023558	I	I	I
ENSCGOG00000004111	I	I	I
ENSCGOG00000018493	I	I	I
ENSCGOG00000012340	I	I	I
ENSCGOG00000007186	UL	UL	UL
ENSCGOG00000020565	I	UL	UL
ENSCGOG00000015577	I	I	I
ENSCGOG00000001972	I	I	I
ENSCGOG00000018589	I	I	I
ENSCGOG00000023646	I	I	I
ENSCGOG00000000467	I	I	I
ENSCGOG00000016928	I	I	I
ENSCGOG00000017692	I	I	I
ENSCGOG00000023518	UL	I	I
ENSCGOG00000018351	I	I	I
ENSCGOG00000019614	UL	UL	UL
ENSCGOG00000005158	I	I	I
ENSCGOG00000014704	I	I	I
ENSCGOG00000006250	I	I	I
ENSCGOG00000013807	I	I	I
ENSCGOG00000010469	UL	UL	UL
ENSCGOG00000020543	I	PI	PI
ENSCGOG00000009917	I	I	I
ENSCGOG00000019728	UL	UL	UL
ENSCGOG00000001427	I	I	I
ENSCGOG00000007155	M	M	M
ENSCGOG00000013264	I	I	I
ENSCGOG00000011370	UL	UL	UL
ENSCGOG00000005996	I	I	I
ENSCGOG00000002429	I	I	I
ENSCGOG00000011605	I	L	PG
ENSCGOG00000023643	I	I	I
ENSCGOG00000011813	I	I	I
ENSCGOG00000004941	I	PG	PG
ENSCGOG00000016335	I	I	I
ENSCGOG00000006668	I	I	I
ENSCGOG00000018517	I	I	I
ENSCGOG00000008036	I	I	I
ENSCGOG00000012047	I	I	I
ENSCGOG00000000055	UL	UL	UL
ENSCGOG00000013877	I	I	I
ENSCGOG00000000872	I	UL	UL
ENSCGOG00000017983	I	I	I
ENSCGOG00000013441	I	I	I
ENSCGOG00000001962	I	I	I
ENSCGOG00000013354	I	I	I
ENSCGOG00000011275	I	I	I
ENSCGOG00000001579	I	I	I
ENSCGOG00000004521	I	I	I
ENSCGOG00000000296	I	I	I
ENSCGOG00000017373	I	I	I
ENSCGOG00000003298	I	I	I
ENSCGOG00000013891	I	I	I
ENSCGOG00000020714	L	PG	PG
ENSCGOG00000003560	UL	UL	UL
ENSCGOG00000014011	I	I	I
ENSCGOG00000018192	I	I	I
ENSCGOG00000022467	I	I	I
ENSCGOG00000022203	L	L	L
ENSCGOG00000024658	UL	UL	UL
ENSCGOG00000014305	UL	UL	UL
ENSCGOG00000016510	I	I	I
ENSCGOG00000018685	I	I	I
ENSCGOG00000014718	I	I	I
ENSCGOG00000014766	L	PM	PM
ENSCGOG00000005081	I	I	I
ENSCGOG00000008454	I	I	I
ENSCGOG00000013439	I	I	I
ENSCGOG00000013548	I	I	I
ENSCGOG00000011648	UL	UL	UL
ENSCGOG00000001438	I	I	I
ENSCGOG00000005394	I	I	I
ENSCGOG00000024083	L	L	L
ENSCGOG00000002963	PG	PG	PG
ENSCGOG00000023088	UL	UL	UL
ENSCGOG00000019195	I	I	I
ENSCGOG00000014188	I	I	I
ENSCGOG00000018721	UL	UL	UL
ENSCGOG00000022787	I	I	I
ENSCGOG00000015943	I	I	I
ENSCGOG00000008587	I	I	I
ENSCGOG00000000867	I	L	L
ENSCGOG00000021072	UL	UL	UL
ENSCGOG00000001805	I	I	I
ENSCGOG00000017387	I	I	I
ENSCGOG00000008701	I	I	I
ENSCGOG00000001762	L	L	L
ENSCGOG00000018588	I	I	I
ENSCGOG00000001526	I	I	I
ENSCGOG00000020904	I	I	I
ENSCGOG00000016898	I	I	I
ENSCGOG00000001405	UL	UL	UL
ENSCGOG00000002237	I	I	I
ENSCGOG00000016440	UL	UL	UL
ENSCGOG00000002019	L	L	L
ENSCGOG00000000589	I	I	I
ENSCGOG00000022641	I	I	I
ENSCGOG00000020588	UL	UL	UL
ENSCGOG00000001516	UL	UL	UL
ENSCGOG00000014181	L	I	I
ENSCGOG00000016880	I	I	I
ENSCGOG00000011816	I	I	I
ENSCGOG00000013090	I	I	I
ENSCGOG00000021420	I	I	I
ENSCGOG00000023768	I	UL	UL
ENSCGOG00000017317	I	I	I
ENSCGOG00000002193	I	I	I
ENSCGOG00000023143	I	I	I
ENSCGOG00000007135	I	I	I
ENSCGOG00000021951	I	I	I
ENSCGOG00000011659	L	L	L
ENSCGOG00000000208	I	I	I
ENSCGOG00000003120	I	I	I
ENSCGOG00000004536	UL	UL	UL
ENSCGOG00000014321	UL	UL	UL
ENSCGOG00000005249	I	I	I
ENSCGOG00000008150	L	L	L
ENSCGOG00000004962	I	I	I
ENSCGOG00000008212	I	I	I
ENSCGOG00000023689	I	I	I
ENSCGOG00000011551	I	I	I
ENSCGOG00000014002	I	I	I
ENSCGOG00000016990	I	I	I
ENSCGOG00000006251	I	I	I
ENSCGOG00000004690	UL	I	I
ENSCGOG00000001357	I	I	I
ENSCGOG00000021504	L	L	M
ENSCGOG00000019708	I	I	I
ENSCGOG00000023864	I	I	I
ENSCGOG00000003075	L	L	L
ENSCGOG00000015462	I	I	I
ENSCGOG00000018401	I	I	I
ENSCGOG00000005729	L	L	L
ENSCGOG00000022309	UL	UL	UL
ENSCGOG00000010780	I	I	I
ENSCGOG00000015326	I	I	I
ENSCGOG00000013993	L	L	L
ENSCGOG00000011471	I	I	I
ENSCGOG00000010493	I	I	I
ENSCGOG00000016276	L	L	L
ENSCGOG00000000775	I	I	I
ENSCGOG00000023499	I	I	I
ENSCGOG00000017756	I	I	I
ENSCGOG00000012830	I	I	I
ENSCGOG00000020676	UL	UL	UL
ENSCGOG00000007744	I	I	I
ENSCGOG00000019658	L	PM	PM
ENSCGOG00000005378	I	I	I
ENSCGOG00000003894	I	I	I
ENSCGOG00000021274	I	I	I
ENSCGOG00000022335	I	UL	UL
ENSCGOG00000013199	I	I	I
ENSCGOG00000003761	I	I	I
ENSCGOG00000018742	I	I	I
ENSCGOG00000016133	I	I	I
ENSCGOG00000018321	L	L	L
ENSCGOG00000018037	I	I	PI
ENSCGOG00000021757	I	I	I
ENSCGOG00000010466	I	I	I
ENSCGOG00000002205	UL	UL	UL
ENSCGOG00000013641	I	I	I
ENSCGOG00000007940	L	L	L
ENSCGOG00000023999	I	I	I
ENSCGOG00000019569	I	I	I
ENSCGOG00000012497	I	I	I
ENSCGOG00000002003	I	I	I
ENSCGOG00000016110	L	L	L
ENSCGOG00000007362	L	L	L
ENSCGOG00000018281	I	I	I
ENSCGOG00000022378	I	I	I
ENSCGOG00000017322	L	L	L
ENSCGOG00000005029	L	L	L
ENSCGOG00000004868	L	L	L
ENSCGOG00000016748	UL	UL	UL
ENSCGOG00000006036	I	I	I
ENSCGOG00000020878	UL	UL	UL
ENSCGOG00000018130	I	I	I
ENSCGOG00000020592	I	I	I
ENSCGOG00000011337	I	I	I
ENSCGOG00000009990	I	I	I
ENSCGOG00000014318	I	UL	UL
ENSCGOG00000011229	I	I	I
ENSCGOG00000009644	PG	PG	PG
ENSCGOG00000003518	L	L	L
ENSCGOG00000014193	UL	UL	UL
ENSCGOG00000009211	I	I	I
ENSCGOG00000022336	I	I	I
ENSCGOG00000020693	I	I	I
ENSCGOG00000021259	I	I	I
ENSCGOG00000000990	I	I	I
ENSCGOG00000013759	M	M	M
ENSCGOG00000021233	I	I	I
ENSCGOG00000016082	UL	UL	UL
ENSCGOG00000020230	UL	UL	UL
ENSCGOG00000004017	I	I	I
ENSCGOG00000011695	UL	UL	UL
ENSCGOG00000012752	I	I	I
ENSCGOG00000012263	I	I	I
ENSCGOG00000017296	I	I	I
ENSCGOG00000023111	I	I	I
ENSCGOG00000006946	PI	PI	PI
ENSCGOG00000019898	I	I	I
ENSCGOG00000010575	I	I	I
ENSCGOG00000008235	L	L	L
ENSCGOG00000006026	I	I	I
ENSCGOG00000017019	I	I	I
ENSCGOG00000008260	I	I	I
ENSCGOG00000021411	I	I	I
ENSCGOG00000001230	I	PI	PI
ENSCGOG00000020432	I	I	I
ENSCGOG00000001791	L	L	L
ENSCGOG00000000412	I	I	I
ENSCGOG00000000401	I	I	I
ENSCGOG00000001363	I	I	I
ENSCGOG00000023304	I	UL	UL
ENSCGOG00000018414	PG	PI	PI
ENSCGOG00000010069	I	I	I
ENSCGOG00000022629	I	I	I
ENSCGOG00000007048	I	I	I
ENSCGOG00000024080	I	I	I
ENSCGOG00000011202	I	I	I
ENSCGOG00000021348	I	I	I
ENSCGOG00000012713	UL	UL	UL
ENSCGOG00000015999	I	I	I
ENSCGOG00000000558	I	I	I
ENSCGOG00000012624	I	I	I
ENSCGOG00000007952	I	I	I
ENSCGOG00000015960	I	I	I
ENSCGOG00000000051	UL	UL	UL
ENSCGOG00000012498	I	I	I
ENSCGOG00000000242	L	L	M
ENSCGOG00000009656	I	I	I
ENSCGOG00000015964	I	I	I
ENSCGOG00000011491	I	I	I
ENSCGOG00000000839	I	I	I
ENSCGOG00000024259	I	I	I
ENSCGOG00000024748	L	L	L
ENSCGOG00000022125	I	I	I
ENSCGOG00000011326	M	UL	UL
ENSCGOG00000007731	UL	UL	UL
ENSCGOG00000018802	I	I	I
ENSCGOG00000010806	I	I	I
ENSCGOG00000004382	I	I	I
ENSCGOG00000016348	M	M	M
ENSCGOG00000017045	I	I	I
ENSCGOG00000020423	I	I	I
ENSCGOG00000001657	I	I	I
ENSCGOG00000006555	I	I	I
ENSCGOG00000018260	I	I	I
ENSCGOG00000023614	I	I	I
ENSCGOG00000010890	I	I	I
ENSCGOG00000015022	I	I	I
ENSCGOG00000007745	M	M	M
ENSCGOG00000017598	I	I	I
ENSCGOG00000020571	I	I	I
ENSCGOG00000021306	I	I	I
ENSCGOG00000001627	L	L	L
ENSCGOG00000008622	I	I	I
ENSCGOG00000012854	UL	UL	UL
ENSCGOG00000021290	I	I	I
ENSCGOG00000011876	I	I	I
ENSCGOG00000023029	I	I	I
ENSCGOG00000001182	I	I	I
ENSCGOG00000008788	I	I	I
ENSCGOG00000022295	I	I	I
ENSCGOG00000001799	I	UL	UL
ENSCGOG00000020700	I	I	I
ENSCGOG00000003282	I	I	I
ENSCGOG00000012038	I	I	I
ENSCGOG00000004627	L	L	L
ENSCGOG00000009836	I	I	I
ENSCGOG00000002493	L	L	L
ENSCGOG00000013647	I	I	I
ENSCGOG00000015076	I	I	I
ENSCGOG00000019605	I	I	I
ENSCGOG00000005241	I	I	I
ENSCGOG00000005764	L	L	L
ENSCGOG00000001305	I	I	I
ENSCGOG00000001465	I	I	I
ENSCGOG00000002150	I	I	I
ENSCGOG00000012681	UL	L	L
ENSCGOG00000009269	I	I	I
ENSCGOG00000020589	I	I	I
ENSCGOG00000016530	I	I	I
ENSCGOG00000006252	I	I	I
ENSCGOG00000001697	I	I	I
ENSCGOG00000013168	I	I	I
ENSCGOG00000022995	I	I	I
ENSCGOG00000017666	I	I	I
ENSCGOG00000020214	I	I	I
ENSCGOG00000006124	I	I	I
ENSCGOG00000008348	I	I	I
ENSCGOG00000005926	I	I	I
ENSCGOG00000005447	UL	UL	UL
ENSCGOG00000021724	I	I	I
ENSCGOG00000009549	I	I	I
ENSCGOG00000007696	I	I	I
ENSCGOG00000005315	I	I	I
ENSCGOG00000002415	I	I	I
ENSCGOG00000008987	L	L	L
ENSCGOG00000010131	I	I	I
ENSCGOG00000006242	I	I	I
ENSCGOG00000008642	L	L	L
ENSCGOG00000014611	I	I	I
ENSCGOG00000006152	I	I	I
ENSCGOG00000012935	I	I	I
ENSCGOG00000015897	I	I	I
ENSCGOG00000016466	UL	PI	PI
ENSCGOG00000007295	L	L	L
ENSCGOG00000010072	I	I	I
ENSCGOG00000013279	I	I	I
ENSCGOG00000005615	I	I	I
ENSCGOG00000018497	I	I	I
ENSCGOG00000014793	I	I	I
ENSCGOG00000018687	I	I	I
ENSCGOG00000001905	I	I	I
ENSCGOG00000019364	I	I	I
ENSCGOG00000016903	I	I	I
ENSCGOG00000009803	UL	UL	UL
ENSCGOG00000003042	I	I	I
ENSCGOG00000021640	I	I	I
ENSCGOG00000001328	I	I	I
ENSCGOG00000021317	I	I	I
ENSCGOG00000006868	I	I	I
ENSCGOG00000014266	UL	UL	UL
ENSCGOG00000021415	I	I	I
ENSCGOG00000017125	I	I	I
ENSCGOG00000023257	UL	M	M
ENSCGOG00000022123	I	I	I
ENSCGOG00000017058	UL	UL	UL
ENSCGOG00000012169	L	L	L
ENSCGOG00000017176	I	I	I
ENSCGOG00000024636	UL	UL	UL
ENSCGOG00000000843	I	I	I
ENSCGOG00000023857	I	I	I
ENSCGOG00000006480	L	L	L
ENSCGOG00000018992	I	I	I
ENSCGOG00000018658	I	I	I
ENSCGOG00000024365	L	I	I
ENSCGOG00000016318	UL	L	M
ENSCGOG00000004000	I	I	I
ENSCGOG00000007182	UL	UL	UL
ENSCGOG00000003640	I	I	I
ENSCGOG00000001784	L	L	PG
ENSCGOG00000015533	I	I	I
ENSCGOG00000000416	I	I	I
ENSCGOG00000000496	L	L	L
ENSCGOG00000022571	I	I	I
ENSCGOG00000017879	UL	UL	UL
ENSCGOG00000013811	I	I	I
ENSCGOG00000011361	I	I	I
ENSCGOG00000023642	I	I	I
ENSCGOG00000017775	I	UL	UL
ENSCGOG00000004688	I	I	I
ENSCGOG00000021538	I	I	I
ENSCGOG00000016986	I	I	I
ENSCGOG00000001392	I	I	I
ENSCGOG00000023639	I	I	I
ENSCGOG00000000731	L	UL	UL
ENSCGOG00000013135	I	I	I
ENSCGOG00000012767	UL	UL	UL
ENSCGOG00000009938	I	UL	I
ENSCGOG00000022392	I	I	I
ENSCGOG00000011746	I	I	I
ENSCGOG00000005362	L	L	L
ENSCGOG00000018861	I	I	I
ENSCGOG00000008368	I	I	I
ENSCGOG00000003168	UL	UL	UL
ENSCGOG00000000021	I	I	I
ENSCGOG00000016033	UL	UL	UL
ENSCGOG00000005123	I	I	I
ENSCGOG00000015715	I	I	I
ENSCGOG00000022802	I	I	I
ENSCGOG00000018959	I	I	I
ENSCGOG00000012509	L	L	M
ENSCGOG00000021575	I	I	I
ENSCGOG00000015444	L	L	L
ENSCGOG00000013687	I	I	I
ENSCGOG00000022793	L	L	L
ENSCGOG00000003513	I	I	I
ENSCGOG00000001497	I	I	I
ENSCGOG00000015384	I	I	I
ENSCGOG00000021031	I	I	I
ENSCGOG00000015581	I	I	I
ENSCGOG00000003667	I	I	I
ENSCGOG00000024025	I	I	I
ENSCGOG00000011107	I	I	I
ENSCGOG00000015446	UL	UL	UL
ENSCGOG00000001471	I	I	I
ENSCGOG00000002486	I	I	I
ENSCGOG00000024620	L	L	L
ENSCGOG00000008522	L	L	L
ENSCGOG00000002084	I	I	I
ENSCGOG00000002342	I	I	I
ENSCGOG00000004539	I	I	I
ENSCGOG00000000910	I	I	I
ENSCGOG00000007753	L	L	L
ENSCGOG00000013183	I	I	I
ENSCGOG00000024272	UL	UL	UL
ENSCGOG00000009011	I	I	I
ENSCGOG00000007159	I	I	I
ENSCGOG00000012366	I	I	M
ENSCGOG00000002517	I	I	I
ENSCGOG00000008746	L	L	M
ENSCGOG00000015717	UL	UL	UL
ENSCGOG00000000977	I	I	I
ENSCGOG00000010117	I	I	I
ENSCGOG00000004619	I	I	I
ENSCGOG00000011234	PG	PG	PG
ENSCGOG00000012128	I	I	I
ENSCGOG00000010997	UL	L	L
ENSCGOG00000017876	I	I	I
ENSCGOG00000009652	I	I	I
ENSCGOG00000022119	I	I	I
ENSCGOG00000023873	L	L	L
ENSCGOG00000012370	I	I	I
ENSCGOG00000002026	I	I	I
ENSCGOG00000024133	I	I	I
ENSCGOG00000002176	I	I	I
ENSCGOG00000018298	I	I	I
ENSCGOG00000012584	I	I	I
ENSCGOG00000017638	I	I	I
ENSCGOG00000019406	UL	UL	UL
ENSCGOG00000022966	I	I	UL
ENSCGOG00000021750	I	I	I
ENSCGOG00000022418	L	L	L
ENSCGOG00000001691	I	I	I
ENSCGOG00000017305	I	I	I
ENSCGOG00000009988	UL	UL	UL
ENSCGOG00000008424	I	I	I
ENSCGOG00000024422	I	I	I
ENSCGOG00000021508	I	I	I
ENSCGOG00000001062	I	I	I
ENSCGOG00000002389	L	L	L
ENSCGOG00000014507	PM	PM	I
ENSCGOG00000024439	I	I	I
ENSCGOG00000005481	I	I	I
ENSCGOG00000019563	I	I	I
ENSCGOG00000004986	I	I	I
ENSCGOG00000004972	I	I	I
ENSCGOG00000013283	I	I	I
ENSCGOG00000004574	I	I	I
ENSCGOG00000005823	I	I	I
ENSCGOG00000011077	I	I	I
ENSCGOG00000020341	UL	UL	UL
ENSCGOG00000000643	I	I	I
ENSCGOG00000010065	I	I	I
ENSCGOG00000021631	I	UL	UL
ENSCGOG00000010418	I	I	I
ENSCGOG00000008011	I	I	I
ENSCGOG00000014031	I	I	I
ENSCGOG00000018244	I	I	I
ENSCGOG00000014923	L	L	L
ENSCGOG00000024536	UL	UL	UL
ENSCGOG00000012637	I	I	I
ENSCGOG00000002580	I	I	I
ENSCGOG00000011108	I	I	I
ENSCGOG00000018044	I	I	I
ENSCGOG00000009815	PG	PG	PG
ENSCGOG00000014540	I	I	I
ENSCGOG00000012544	I	I	I
ENSCGOG00000000431	L	L	L
ENSCGOG00000020996	I	I	I
ENSCGOG00000004871	M	M	M
ENSCGOG00000010526	I	I	I
ENSCGOG00000017335	I	I	I
ENSCGOG00000018306	I	I	I
ENSCGOG00000021030	I	I	I
ENSCGOG00000024600	I	I	I
ENSCGOG00000006992	I	I	I
ENSCGOG00000018211	I	I	I
ENSCGOG00000022012	UL	UL	UL
ENSCGOG00000013117	I	I	I
ENSCGOG00000023670	I	I	I
ENSCGOG00000017875	I	I	I
ENSCGOG00000002067	M	L	L
ENSCGOG00000000605	I	I	I
ENSCGOG00000002179	UL	UL	L
ENSCGOG00000005646	I	I	I
ENSCGOG00000002654	I	I	I
ENSCGOG00000021577	L	L	M
ENSCGOG00000011841	UL	UL	UL
ENSCGOG00000013383	I	I	I
ENSCGOG00000007475	UL	UL	UL
ENSCGOG00000009985	I	I	I
ENSCGOG00000018399	I	I	I
ENSCGOG00000007154	I	I	I
ENSCGOG00000007894	I	I	I
ENSCGOG00000004123	L	L	M
ENSCGOG00000009049	I	I	I
ENSCGOG00000002061	I	I	I
ENSCGOG00000016835	I	I	I
ENSCGOG00000012684	L	L	UL
ENSCGOG00000011408	I	I	I
ENSCGOG00000023714	I	I	I
ENSCGOG00000024389	I	I	I
ENSCGOG00000014785	UL	UL	UL
ENSCGOG00000017475	I	PI	PI
ENSCGOG00000023187	UL	UL	UL
ENSCGOG00000012488	I	I	I
ENSCGOG00000011867	I	I	I
ENSCGOG00000012711	I	I	I
ENSCGOG00000014796	I	I	I
ENSCGOG00000006580	I	M	M
ENSCGOG00000001866	I	I	I
ENSCGOG00000009206	I	M	M
ENSCGOG00000002737	I	I	I
ENSCGOG00000016730	UL	UL	UL
ENSCGOG00000015317	I	I	I
ENSCGOG00000014034	I	I	I
ENSCGOG00000004597	I	I	I
ENSCGOG00000000574	I	I	I
ENSCGOG00000022358	I	I	I
ENSCGOG00000021486	I	I	I
ENSCGOG00000019063	I	I	I
ENSCGOG00000010671	I	I	UL
ENSCGOG00000002421	UL	UL	UL
ENSCGOG00000022963	I	I	I
ENSCGOG00000011396	I	I	I
ENSCGOG00000016474	UL	UL	UL
ENSCGOG00000019555	I	I	I
ENSCGOG00000004582	L	L	L
ENSCGOG00000018220	I	UL	UL
ENSCGOG00000022032	I	I	I
ENSCGOG00000005955	I	I	I
ENSCGOG00000009246	I	I	I
ENSCGOG00000020479	I	I	I
ENSCGOG00000013051	I	I	I
ENSCGOG00000008929	L	M	PG
ENSCGOG00000000481	L	L	L
ENSCGOG00000015400	L	L	L
ENSCGOG00000015375	I	I	I
ENSCGOG00000012585	I	I	I
ENSCGOG00000018289	I	I	I
ENSCGOG00000002984	I	I	I
ENSCGOG00000024284	L	L	L
ENSCGOG00000017891	I	I	I
ENSCGOG00000018627	I	I	I
ENSCGOG00000016378	M	M	M
ENSCGOG00000023303	I	I	I
ENSCGOG00000024150	UL	PI	UL
ENSCGOG00000018845	I	PI	PI
ENSCGOG00000004729	I	I	I
ENSCGOG00000019551	I	I	I
ENSCGOG00000012505	I	I	I
ENSCGOG00000000874	I	I	I
ENSCGOG00000002723	I	I	I
ENSCGOG00000015052	UL	UL	UL
ENSCGOG00000014010	I	I	I
ENSCGOG00000014576	UL	UL	UL
ENSCGOG00000009954	I	I	I
ENSCGOG00000006819	UL	I	I
ENSCGOG00000013782	L	L	L
ENSCGOG00000015828	I	I	I
ENSCGOG00000008376	I	UL	UL
ENSCGOG00000005787	I	I	I
ENSCGOG00000020129	M	M	M
ENSCGOG00000019331	UL	UL	UL
ENSCGOG00000005016	I	I	I
ENSCGOG00000000358	I	I	I
ENSCGOG00000004404	I	I	I
ENSCGOG00000006066	I	I	I
ENSCGOG00000013573	I	I	I
ENSCGOG00000010996	I	I	I
ENSCGOG00000005978	I	I	I
ENSCGOG00000020660	I	I	I
ENSCGOG00000009658	L	M	M
ENSCGOG00000011312	UL	I	I
ENSCGOG00000016598	I	PI	PI
ENSCGOG00000004189	I	I	I
ENSCGOG00000000756	I	I	PI
ENSCGOG00000013412	I	I	I
ENSCGOG00000007185	I	I	I
ENSCGOG00000024376	UL	UL	UL
ENSCGOG00000012712	L	L	L
ENSCGOG00000014701	I	I	I
ENSCGOG00000023695	I	PI	PI
ENSCGOG00000014192	I	I	I
ENSCGOG00000021437	I	I	I
ENSCGOG00000013121	L	L	L
ENSCGOG00000021497	I	I	I
ENSCGOG00000005500	I	I	I
ENSCGOG00000017374	I	I	I
ENSCGOG00000014964	L	L	L
ENSCGOG00000016254	I	I	I
ENSCGOG00000009300	I	I	I
ENSCGOG00000007532	I	I	I
ENSCGOG00000015334	I	I	I
ENSCGOG00000003000	L	M	L
ENSCGOG00000019955	I	I	I
